store_id,dept_id,week_start_date,during_pilot,post_pilot,treated,weekly_revenue,weekly_units,store_name,city,is_pilot,store_format,matched_control_id,dept_name,dept_pilot,price_elasticity_group
1,1,2023-03-27,False,False,False,25122.0,174,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-04-03,False,False,False,66348.0,463,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-04-10,False,False,False,78808.0,547,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-04-17,False,False,False,76063.0,529,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-04-24,False,False,False,77799.0,542,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-05-01,False,False,False,77893.0,541,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-05-08,False,False,False,80432.0,559,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-05-15,False,False,False,78508.0,546,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-05-22,False,False,False,70021.0,487,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-05-29,False,False,False,76404.0,530,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-06-05,False,False,False,79637.0,553,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-06-12,False,False,False,78562.0,546,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-06-19,False,False,False,77058.0,536,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-06-26,False,False,False,66741.0,464,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-07-03,False,False,False,79176.0,550,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-07-10,False,False,False,79941.0,556,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-07-17,False,False,False,78482.0,545,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
1,1,2023-07-24,False,False,False,77735.0,540,Kitchener-Fairview,Kitchener,True,large,12,Electronics,True,Low
